PLAYER;PTS;FG%;3P%;FT%;REB;AST;TOV;PF;+/-
Joel Embiid;35.3;53.3;36.6;88.3;11.3;5.7;3.7;2.9;6.9
Luka Doncic;33.9;48.7;37.4;78.7;9.1;9.8;4;2.1;3.5
Giannis Antetokounmpo;30.7;61.6;28.8;65.7;11.5;6.4;3.4;2.9;4.6
Shai Gilgeous-Alexander;30.4;54;36.7;87.1;5.6;6.3;2.2;2.5;7.9
Kevin Durant;27.6;52.9;42.2;85.5;6.8;5.2;3.3;1.7;3.8
Donovan Mitchell;27.4;46.8;37.3;86.2;5.3;6.1;2.9;2.2;7
Jalen Brunson;27.4;47.7;40.1;84.5;3.6;6.5;2.4;1.9;6.1
Jayson Tatum;27.3;47.2;37.8;83.2;8.2;4.9;2.5;2;8.8
Devin Booker;27.2;49.2;36.4;88.1;4.8;6.9;2.5;3;4.6
Stephen Curry;26.5;44.7;40.3;92.3;4.4;5;2.8;1.6;2
De'Aaron Fox;26.5;46.6;36.3;73;4.5;5.6;2.7;2.6;2.6
Trae Young;26.4;42.6;37.1;85.6;2.7;10.8;4.3;2.1;-2.2
Anthony Edwards;26.2;46.4;37.3;82.7;5.5;5.2;3.1;1.8;6.5
Nikola Jokic;26.1;58.1;35;82.8;12.2;9;2.9;2.5;8.2
Tyrese Maxey;25.8;44.9;37.9;86.7;3.7;6.1;1.7;2.2;3.5
LeBron James;25.3;53;40.5;74.8;7.3;8.1;3.3;1.2;2.7
Kyrie Irving;25.3;49.1;40.7;90.5;5;5.3;1.7;1.9;3.7
Anthony Davis;24.7;55.3;28.9;81.5;12.6;3.6;2;2.4;1.1
Damian Lillard;24.4;42.6;35.8;92.3;4.4;7.1;2.5;1.8;5.8
Julius Randle;24;47.2;31.1;78.1;9.2;5;3.5;2.7;4.7
